ID,Date,Premisestype,Location,BusinessType,Other_notes,Locationlat,Locationlong,Whocollectstherubbish,Collectionperiod,Accumulationtimenum,Collectionrating,Wastedisposalgreen,Wastedisposalgeneral,Comments,Collected,NumberofEmployees,FloorSpace,FloorSpaceUnits,NumberofRooms
29,05/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,,17.492111,-88.187206,private,p_week,7.00000000000000,3,disp_collect,disp_collect,The business suggested that city council could clean more often. The business makes signs,0.25000000000000,16,,,7
32,05/06/2019 00:00:00,pt_commercial,Belize City,Food_outlet,,17.505876,-88.189038,private,p_3days,3.50000000000000,3,disp_collect,disp_collect,,1.00000000000000,2,,,1
21,04/06/2019 00:00:00,pt_commercial,Dangriga,Retail_shop,,,,,,,,,,,1.00000000000000,,,,
22,04/06/2019 00:00:00,pt_commercial,Dangriga,Retail_shop,,16.967476,-88.24213,council,p_week,7.00000000000000,4,disp_collect,disp_collect,,1.00000000000000,1,0,,3
23,04/06/2019 00:00:00,pt_commercial,Dangriga,Admin,School,16.967476,-88.24213,council,p_week,7.00000000000000,4,other,disp_collect,Epworth school,0.05882352900000,28,0,,30
24,04/06/2019 00:00:00,pt_commercial,Dangriga,Food_outlet,,16.967476,-88.24213,council,p_week,7.00000000000000,4,other,disp_collect,,1.00000000000000,5,0,,4
25,04/06/2019 00:00:00,pt_commercial,Dangriga,Admin,Council,,,,,,,,,,0.20000000000000,,,,
33,05/06/2019 00:00:00,pt_commercial,Belize City,Food_outlet,,17.515407,-88.202433,private,p_3days,3.50000000000000,5,disp_collect,disp_collect,,0.10000000000000,17,0,,1
31,05/06/2019 00:00:00,pt_commercial,Belize City,Food_outlet,,17.50848,-88.190866,council,p_week,7.00000000000000,5,disp_collect,disp_collect,,1.00000000000000,2,,,8
27,05/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,,17.500143,-88.18934,council,p_week,7.00000000000000,5,disp_collect,disp_collect,Gas Station,0.10000000000000,8,,,2
28,05/06/2019 00:00:00,pt_commercial,Belize City,Food_outlet,,17.504116,-88.198785,council,p_week,7.00000000000000,5,disp_collect,disp_collect,,0.10000000000000,6,,,2
26,05/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,,17.497136,-88.185127,private,p_week,7.00000000000000,5,disp_collect,disp_collect,Nail salon_premise type,0.33333333300000,3,0,,1
35,06/06/2019 00:00:00,pt_commercial,Belize City,Food_outlet,,17.510692,-88.190257,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,Ice cream parlor,1.00000000000000,3,,,3
34,05/06/2019 00:00:00,pt_commercial,Belize City,Admin,,17.51296,-88.19574,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,,0.20000000000000,21,,,2
36,06/06/2019 00:00:00,pt_commercial,Belize City,Admin,"School, 1/3 is cardboard",17.506693,-88.197567,council,p_3days,3.50000000000000,5,other,disp_collect,School,0.10000000000000,40,,,20
38,06/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,,17.503953,-88.196194,council,p_3days,3.50000000000000,5,disp_collect,disp_collect,,0.05000000000000,12,,,
37,06/06/2019 00:00:00,pt_commercial,Belize City,Hotels,,17.505943,-88.200087,private,p_week,7.00000000000000,4,disp_collect,disp_collect,,0.33000000000000,11,,,73
40,06/06/2019 00:00:00,pt_commercial,Belize City,Admin,Library,17.509524,-88.206254,council,p_3days,3.50000000000000,4,disp_collect,disp_collect,,0.16666666700000,25,,,
39,06/06/2019 00:00:00,pt_commercial,Belize City,Retail_shop,Car shop next to 96 shopping centre,17.505944,-88.200087,private,p_week,7.00000000000000,4,other,disp_collect,,0.05000000000000,3,0,,8
42,06/06/2019 00:00:00,pt_commercial,Belize City,Other,Medical centre,17.511542,-88.20244,private,p_3days,3.50000000000000,5,disp_collect,disp_collect,,0.08333333300000,11,,,7
41,06/06/2019 00:00:00,pt_commercial,Belize City,Food_outlet,Green market food stand (in yellow?) across from healthcare partners,17.512647,-88.203081,private,p_week,7.00000000000000,5,disp_collect,disp_collect,,0.30000000000000,2,0,,1
43,06/06/2019 00:00:00,pt_commercial,Belize City,Admin,,17.488005,-88.200802,private,p_3days,3.50000000000000,5,disp_collect,disp_collect,,,105,,,115
