HouseholdCommercialShipID,TotalsampleweightKG,Amountwillingtopayforrubbishbag,Amountwillingtopayforwastecollection,AreaorIslandName,Collectionservicerating,DailyDiet1,DailyDiet2,DailyDiet3,Diet1source,Diet2source,Diet3source,Electricityexpensesper,EstimatedMonthlyIncome,GarbageCollectionType,GroceryexpensesUS,Groceryexpensesper,HouseOwnership,HouseholdGPSlatitude,HouseholdGPSlongitude,Incomesource,InformationreceivedaboutWasteCollectionServices,MonthlyIncomeUS,NumberofBins,Numberofemployedpeopleinfamily,Numberofpeopleinhousehold,Radio,Reasonforrating,RecordID,Softdrinkcansperweek,Suggestionsforimprovement,Supportforlevy,Supportforrubbishbag,SurveyDate,Totalelectricityexpenses,Transportationexpensesper,Transportationexpensestotal,WasteDisposalMethodBulky,WasteDisposalMethodGeneral,WasteDisposalMethodNappies,WasteDisposalMethodGreen,WasteLevelwhencollectionarrives,Wasteburned,Waterbottlesperweek,Weather,WeeklyElectricityexpenses,WeeklyGroceryExpenses,WeeklyTransportationExpenses,GeneralWasteCollect,GreenWasteCollect,SanitaryWasteCollect,BulkyWasteCollect,GeneralWasteTransport,GreenWasteTransport,SanitaryWasteTransport,BulkyWasteTransport,GeneralWasteDump,GreenWasteDump,SanitaryWasteDump,BulkyWasteDump,GeneralWasteBury,GreenWasteBury,SanitaryWasteBury,BulkyWasteBury,GeneralWasteBurn,GreenWasteBurn,SanitaryWasteBurn,BulkyWasteBurn,GeneralWasteWater,GreenWasteWater,SanitaryWasteWater,BulkyWasteWater,Collect
AH03_Sol,0.25400000000000,can if this system is in place ,not sure,Ambu,,vegetable,potatoes,Rice,produce,produce,buy,,1400,None,12.48000000000000,,Family,-8.73195,160.70519,employment; marketing,NO,174.72000000000000,plastic,4,10,,,2,,each family to have a bit for tins to avoid breeding spot for vectare ,,yes,12/03/2018 00:00:00,60,,25,,inside bags/ plastic burn,inside big hole,animal feed/ replant cabbage,,,0.00000000000000,raining,,100,25.00000000000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AH06_Sol,2.08800000000000,$0.05 ,$20 ,Ambu,,rice/potato/kumera,Casawa,Banana,produce & buy,,,month,2000,None,6.24000000000000,fortnight,Own,-8.73195,160.70519,carporter; teacher; casual worked,,249.60000000000000,1,4,9,yes,No service ,3,1.00000000000000,,Yes,YES,12/05/2018 00:00:00,50,,,,burn,bury them (dogs take otherwise),Pig; burn,,,0.00000000000000,raining ,,50,20.00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
AH09_Sol,1.41000000000000,$20 ,$50 per day,Ambu,,rice,potato; taro,root grobs,buy,produce,produce,day,1200,None,24.96000000000000,,Own,-8.73195,160.70519,teacher,,149.76000000000000,NO,1,8,,,4,1.00000000000000,,,yes; support this system,12/03/2018 00:00:00,60,day,100,,throw inside pit,inside the pit,burn,,,0.00000000000000,Runny,,200,700.00000000000000,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
AH10_Sol,2.77400000000000,Yes,$50 fortnightly,Ambu,,potato/ cassara,Rice,Vegetables ,produceotato/ cassara,buy,produce,month,3000,None,6.24000000000000,,Own,-8.73195,160.70519,teacher,Yes; company in Auki,374.40000000000000,1,1,4,yes,,5,1.00000000000000,,,Yes,12/03/2018 00:00:00,50,,,abandon it ,throw - old pits from toilets,wash and resuse (throw away diapers),collect -  too much to compost,,,0.00000000000000,raining,,50,100.00000000000000,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
AH11_Sol,3.03000000000000,$2 ,$20 ,Ambu,,rice/cabbage,Casarra/ kumera,Fish,produce or buy,produce,buy,month,3000,None,24.96000000000000,,Own,-8.73195,160.70519,teacher,,374.40000000000000,1,1,6,no,no service,6,,,,yes,12/03/2018 00:00:00,50,day,10,,bag them then burn,,pig; burn,,,0.00000000000000,sunny,,200,70.00000000000000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
AH13_Sol,1.98600000000000,50c to $1,50c to $1 is fine with me ,Ambu,,chicken,sweet potato,fish,buy,produce,buy,month,2000,None,87.36000000000000,,Own,-8.73195,160.70519,private job,no,249.60000000000000,no bins,1,7,yes,no service,7,7.00000000000000,need to have a rubbish collection,,Yes; I like this idea,12/03/2018 00:00:00,50,,,backyard disposal,backyard disposal,backyard disposal,backyard disposal,do not remember; about 1 full shopping bag,,0.00000000000000,raining,,700,25.00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AH15_Sol,2.03800000000000,$10 ,$10 ,Ambu,,potato,rice,Kasafa,produce,buy,produce,,,None,131.04000000000000,day,Own,-8.73195,160.70519,shop keeper (daughter),,,,1,6,yes,,8,,,Support,good idea,23/11/2018 00:00:00,solar,day,10,,burn/bury in pit,,,,,0.00000000000000,sunny,,1050,70.00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
AH16_Sol,2.43200000000000,$1 ,$80 ,Ambu,,rice/ taro,cabbage,tea/cake,buy,produce,buy,,2600,None,18.72000000000000,,Own,-8.73195,160.70519,teacher,,324.48000000000000,no. only boxes and bags,1,5,no,no service,9,4.50000000000000,,,yes,12/03/2018 00:00:00,,,,burn for fire,burn,,animals/ bush heap,,,0.00000000000000,sunny,solar,150,30.00000000000000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AH18_Sol,5.98800000000000,yes,no ,Ambu,,cassara/potato/taro,rice,vegetables,produce,,produce,3 months,1000,None,49.92000000000000,month,Own,-8.73195,160.70519,market and carpenter,no ,124.80000000000000,,2,6,yes,,10,,,,,12/03/2018 00:00:00,50,,,burn,plastic and tin = burn,,food banana,,,0.00000000000000,raining,,400,20.00000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
AH21_Sol,0.84600000000000,$2-$5 is ok with me ,yes,Ambu,,sweet potato,cabbage/ veges,fish,buy,buy,buy,month,8000,None,12.48000000000000,,Own,-8.73195,160.70519,canteen,,998.40000000000000,shopping bags; large shopping bag,1 (self employed),1,yes,,11,2.00000000000000,Government needs to put in place a collection service,,yes,12/03/2018 00:00:00,50,,,do not have any,dispose in the hold,do not have ,mulching and feeding pigs (cabbages etc),full 1 week,,0.00000000000000,,,100,30.00000000000000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
