,ID,Non_combust_wt_%,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Total_weight_(kg),aluminium_cans,aluminium_recyclable,batteries,bottles_cds,bottles_wine_and_spirits,cardboard,ceramics,drinkbags,electrical_items_and_peripherals_(incl_tvs),energy_kWh_per_kg,eps,feminine_hygiene,flexibles_film,food,hdpe_bottles,jars,lpb,nappies,other,other_glass,other_metal,other_organics,other_plastic,other_sanitary_waste,paper,pet_bottles,plastic_bags,pp,steel_cans,textiles,total_energy_kWh
0,1_B,0.0,0.2359550561797753,0.3595505617977528,0.404494382022472,0.534,0.0,0.0,0.0,0.0,0.0,0.192,0.0,0.0,0.0,1.3,0.01,0.126,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.03,0.026000000000000002,0.017,0.0,0.0,0.69
1,2_B,0.062101583384741935,0.7380217972444992,0.01624511618342587,0.18363150318733293,4.863,0.013000000000000001,0.028999999999999998,0.0,0.0,0.0,0.0,0.0,0.0115,0.0,2.76,0.003,0.0,0.196,2.989,0.203,0.26,0.009000000000000001,0.063,0.0,0.0,0.0,0.537,0.188,0.0,0.07,0.147,0.057999999999999996,0.075,0.0,0.0,13.42
2,3_B,0.020290835306053436,0.8948258369969564,0.016570848833276967,0.06831247886371324,2.9570000000000003,0.0,0.013000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.03,0.035,0.0,0.012,1.9269999999999998,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.7190000000000001,0.031,0.0,0.075,0.0,0.047,0.018000000000000002,8.96
3,4_B,0.23846153846153845,0.4076923076923077,0.09487179487179488,0.25897435897435894,0.39,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.005,0.0,1.72,0.003,0.0,0.027999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.065,0.0,0.09300000000000001,0.0,0.67
4,5_B,0.0,0.8966525836854079,0.02729931751706207,0.07604809879753006,3.0770000000000004,0.0,0.0,0.0,0.0,0.0,0.047,0.0,0.018000000000000002,0.0,3.09,0.0,0.071,0.106,2.366,0.0,0.0,0.037000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.322,0.0,0.0,0.068,0.024,0.0,0.0,9.51
5,6_B,0.11946902654867254,0.7351453855878635,0.034766118836915286,0.11061946902654868,6.327999999999999,0.0,0.027000000000000003,0.0,0.0,0.0,0.091,0.0,0.0,0.0,2.63,0.038,0.914,0.13699999999999998,0.8809999999999999,0.0,0.0,0.129,1.203,0.031,0.0,0.0,0.0,0.028999999999999998,1.6540000000000001,0.0,0.23,0.25,0.016,0.698,0.0,16.64
6,7_B,0.08953957139826015,0.6664544875875239,0.07744536388712073,0.16656057712709527,4.713,0.0,0.099,0.0,0.0,0.0,0.365,0.0,0.0,0.0,2.59,0.1,0.0,0.35,3.141,0.033,0.134,0.0,0.0,0.087,0.0,0.0,0.0,0.004,0.0,0.0,0.158,0.14,0.0,0.102,0.0,12.21
7,8_B,0.32018209408194226,0.33080424886191195,0.0763060914805983,0.2727075655755474,4.613,0.0,0.013999999999999999,0.0,0.0,0.37799999999999995,0.159,0.0,0.003,0.0,1.39,0.01,0.0,0.297,1.526,0.027000000000000003,0.958,0.193,0.0,0.0,0.0,0.0,0.0,0.34700000000000003,0.0,0.0,0.436,0.138,0.0,0.127,0.0,6.41
8,9_B,0.05099675475197033,0.0890125173852573,0.44459898006490506,0.4153917477978674,2.157,0.0,0.021,0.0,0.0,0.0,0.495,0.0,0.005,0.0,0.52,0.027000000000000003,0.0,0.247,0.094,0.22899999999999998,0.0,0.135,0.098,0.0,0.0,0.0,0.0,0.052000000000000005,0.0,0.32899999999999996,0.23800000000000002,0.098,0.0,0.08900000000000001,0.0,1.12
9,10_B,0.0012496875781054734,0.7843039240189952,0.1657085728567858,0.04873781554611347,4.001,0.0,0.005,0.0,0.0,0.0,0.617,0.0,0.0,0.0,2.97,0.04,0.0,0.04,1.24,0.0,0.0,0.046,1.781,0.0,0.0,0.0,0.0,0.015,0.11699999999999999,0.0,0.043,0.057,0.0,0.0,0.0,11.88
10,11_B,0.0,0.17951959544879897,0.2642225031605563,0.5562579013906448,0.7909999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,1.02,0.0,0.059000000000000004,0.114,0.055999999999999994,0.055999999999999994,0.0,0.0,0.027000000000000003,0.0,0.0,0.0,0.0,0.019,0.0,0.161,0.18899999999999997,0.057,0.0,0.0,0.048,0.81
11,12_B,0.0,0.0,0.20680628272251309,0.7931937172774869,0.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.16,0.0,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,0.171,0.111,0.0,0.0,0.14400000000000002,0.0
12,13_B,0.04673762147154095,0.6922720962517352,0.16520129569643682,0.09578898658028692,2.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,2.72,0.009000000000000001,0.0,0.128,0.0,0.0,0.0,0.0,1.496,0.09300000000000001,0.0,0.0,0.0,0.009000000000000001,0.0,0.35700000000000004,0.026000000000000002,0.03,0.0,0.008,0.0,5.88
13,14_B,0.21688311688311687,0.270995670995671,0.2324675324675325,0.27965367965367965,2.3100000000000005,0.062,0.024,0.0,0.32,0.0,0.0,0.0,0.005,0.0,1.28,0.038,0.0,0.335,0.626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,0.0,0.537,0.10400000000000001,0.08199999999999999,0.0,0.095,0.0,2.96
14,15_B,0.0027842227378190253,0.9505800464037124,0.0,0.046635730858468685,4.3100000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,3.1,0.0,0.091,0.016,4.006,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.046,0.0,0.0,0.08900000000000001,0.04,0.0,0.0,0.0,13.36
15,16_B,0.3909683285346264,0.17381421427489013,0.2468555841794211,0.18836187301106225,6.599,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.78,0.011000000000000001,0.071,0.4,0.17800000000000002,0.099,0.713,0.03,0.0,0.0,0.0,0.0,0.0,0.23199999999999998,0.898,0.8590000000000001,0.172,0.324,0.0,1.835,0.74,5.15
16,17_B,0.07922218221101908,0.7364061937342455,0.019445444724522868,0.16492617933021247,5.5539999999999985,0.057999999999999996,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72,0.026000000000000002,0.0,0.048,3.3989999999999996,0.043,0.0,0.0,0.691,0.0,0.0,0.0,0.0,0.151,0.0,0.07,0.33799999999999997,0.31,0.0,0.226,0.038,15.11
