ID,Date,Premisestype,Location,Urbanity,Locationlat,Locationlong,Currency,Binsnumber,Binssizematerial,Collected,Collectionavailable,Collectioninfo,Collectioninfochannel,Collectioninfochannelinterp,Collectionperiod,Accumulationtimenum,Collectionperiodother,Collectionrating,Collectionratingreason,Collectionwastelevelwhenta,Collectionrubbishbagsupport,Collectionrubbishbagwilling,Bownbowcollectionopinion,Collectionsuggestions,Collectionwillingtopay,Wastedisposalbulky,Wastedisposalbulkyother,Wastedisposalgeneral,Wastedisposalgeneralother,Wastedisposalgreen,Wastedisposalgreenother,Wastedisposalnappies,Wastedisposalnappiesother,Dietfood_0,Dietfrequency_0,Dietsource_0,Dietfood_1,Dietfrequency_1,Dietsource_1,Dietfood_2,Dietfrequency_2,Dietsource_2,Groceryexpenses,Groceryperiod,Groceryperiodnum,Groceryperiodother,Grocerytotal,Housenumberpeople,Housenumberchildren,Housenumberpeopleincome,Houseownership,Whatsourcesofincomedoesthispersonhave_0,Incomeamount_0,Incomeperiod_0,Incomeperiodnum_0,Incomeperiodother_0,Whatsourcesofincomedoesthispersonhave_1,Incomeamount_1,Incomeperiod_1,Incomeperiodnum_1,Incomeperiodother_1,Whatsourcesofincomedoesthispersonhave_2,Incomeamount_2,Incomeperiod_2,Incomeperiodnum_2,Incomeperiodother_2,Whatsourcesofincomedoesthispersonhave_3,Incomeamount_3,Incomeperiod_3,Incomeperiodnum_3,Whatsourcesofincomedoesthispersonhave_4,Incomeamount_4,Incomeperiod_4,Incomeperiodnum_4,Whatsourcesofincomedoesthispersonhave_5,Incomeamount_5,Incomeperiod_5,Incomeperiodnum_5,Incometotal,Levysupport,Electricityexpensesperiod,Mobilephone,Softdrinkcans,Transportationexpensesperiod,Waterbottlespweek,Totalcontainers,Cigarettebutts,Cigarettepackets,Straws,Coffeecups,Bagsglossy,Bagssupermarket,Takeawayconts,Takeawaylids
37,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,9,7,0
39,03/06/2019,pt_household,Belmopan,Urban,17.244606,-88.768488,bzd,1,40L,,yes,yes,Council,council,p_3days,3.50000000000000,,2,Not consistent schedule because of using tractor,half_full,yes,1.00000000000000,yes,More trucks,2,disp_collect,,disp_collect,,disp_collect,,other,None,Rice,df_some_days,diet_buy,Fruits,df_every_day,diet_buy,Beans,df_some_days,diet_buy,0,p_week,7,,0.00000000000000,2,0,1,own,Teacher,0,p_month,30,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,90,yes,0,100,3 5 gallons,0,0,0,0,0,0,19,8,0
31,03/06/2019,pt_household,Belmopan,Urban,17.251912,-88.76795,bzd,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,teacher,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5,0,0,0,6,4
32,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,7,3,1
33,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,9,11,6
34,03/06/2019,pt_household,Belmopan,Urban,17.251912,-88.767944,bzd,0,,,yes,no,,,p_3days,3.50000000000000,,5,They do an excellent job of picking up garbage but you have to.make sure that you put your garbage out there.,half_full,no,,yes,Educate the people to avoid problems related to garbage.,0,other,Give them away to a technician.,disp_collect,,other,Use for garden,other,None,Ground Meat,df_some_days,diet_buy,Bread,df_most_days,diet_buy,Sweet Potato,df_most_days,diet_buy,200,p_month,30,,200.00000000000000,2,0,2,own,Retired,1500,p_month,30,,Retired,1500,p_month,30,,,,,,,,,,,,,,,,,,,3000.00000000000000,yes,150 per month,no,0,0 as he walks,One five gallon every so often,3,0,0,0,0,0,16,7,3
35,03/06/2019,pt_household,Belmopan,Urban,17.243243,-88.765508,bzd,1,50l,,yes,no,,,p_week,7.00000000000000,,5,Consistent time,half_full,no,0.00000000000000,yes,Garbage drum needs to be placed back properly,20,other,Dump,disp_collect,,disp_collect,,other,None,Rice,df_some_days,diet_buy,Soup,df_some_days,diet_buy,Vegetables,df_some_days,diet_buy,250,p_month,30,,250.00000000000000,2,0,1,rent,Mechanic,0,p_month,30,,,,,,,,,,,,,,,,,,,,,,,,0.00000000000000,yes,60,no,0,100,1 5gallon,8,0,0,0,0,0,6,17,1
36,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,9,0,0
38,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,0,0,0,7,6,0
40,03/06/2019,pt_household,Belmopan,Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,0,0,0,0,14,12,0
