HouseholdCommercialShipID,TotalsampleweightKG,Amountwillingtopayforrubbishbag,Amountwillingtopayforwastecollection,AreaorIslandName,Collectionservicerating,DailyDiet1,DailyDiet2,DailyDiet3,Diet1source,Diet2source,Diet3source,Electricityexpensesper,EstimatedMonthlyIncome,GarbageCollectionType,GroceryexpensesUS,Groceryexpensesper,HouseOwnership,HouseholdGPSlatitude,HouseholdGPSlongitude,Incomesource,InformationreceivedaboutWasteCollectionServices,MonthlyIncomeUS,NumberofBins,Numberofemployedpeopleinfamily,Numberofpeopleinhousehold,Radio,Reasonforrating,RecordID,Softdrinkcansperweek,Suggestionsforimprovement,Supportforlevy,Supportforrubbishbag,SurveyDate,Totalelectricityexpenses,Transportationexpensesper,Transportationexpensestotal,WasteDisposalMethodBulky,WasteDisposalMethodGeneral,WasteDisposalMethodNappies,WasteDisposalMethodGreen,WasteLevelwhencollectionarrives,Wasteburned,Waterbottlesperweek,Weather,WeeklyElectricityexpenses,WeeklyGroceryExpenses,WeeklyTransportationExpenses,GeneralWasteCollect,GreenWasteCollect,SanitaryWasteCollect,BulkyWasteCollect,GeneralWasteTransport,GreenWasteTransport,SanitaryWasteTransport,BulkyWasteTransport,GeneralWasteDump,GreenWasteDump,SanitaryWasteDump,BulkyWasteDump,GeneralWasteBury,GreenWasteBury,SanitaryWasteBury,BulkyWasteBury,GeneralWasteBurn,GreenWasteBurn,SanitaryWasteBurn,BulkyWasteBurn,GeneralWasteWater,GreenWasteWater,SanitaryWasteWater,BulkyWasteWater,Collect,ïHouseholdCommercialShipID
LH60_Van,2.347,100,1000,Lelepa,,,,,Buy,Local,,Solar,20000,None,43.87815,,,-17.60097,168.21058,Fishing,,175.5126,3,2,,,,1,2,,Yes,Yes,15/11/2018,,,,,,,,,Yes,10,,,5000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH59_Van,2.752,100,2000,Lelepa,,,,,Buy,Local,,Solar,35000,None,52.65378,,,-17.60097,168.21058,Work,,307.14705,1,1,,,,2,5,,Yes,Yes,15/11/2018,,,,,,Dump it,,,Yes,10,,,6000,3000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH58_Van,0.531,100,2000,Lelepa,,,,,Buy,Local,,Solar,20000,None,35.10252,,,-17.60097,168.21058,Self Emplyment,,175.5126,,1,,,,3,3,,Yes,Yes,15/11/2018,,,,,,Dump it,,Plastic,Yes,7,,,4000,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH57_Van,0.307,70,100,Lelepa,,,,,Buy,Local,,Solar,30000,None,43.87815,,,-17.60097,168.21058,Art Craft,,263.2689,1,1,,,,4,1,,Yes,Yes,15/11/2018,,,,,,Dump,,,,6,,,5000,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH56_Van,1.98,,,Lelepa,,,,,,,,500,15000,None,26.32689,,,-17.60097,168.21058,Resort - hotel,,131.63445,2,1,,,,5,2,,,Yes,15/11/2018,,,,,Burn,Burn under the ground in the bush,,,No,4,,,3000,600,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
LH55_Van,0.133,100,1000,Lelepa,,,,,Buy,Local,,Solar,50000,None,35.10252,,,-17.60097,168.21058,Working,,438.7815,2,2,,,,6,4,,Yes,Yes,15/11/2018,,,,,Burn,Dump,No,,,11,,,4000,2000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
LH54_Van,0.066,100,1000,Lelepa,,,,,Buy,Local food,,Solar,5000,None,26.32689,,,-17.60097,168.21058,Tourism,,43.87815,2,,,,,7,0,,Yes,Yes,15/11/2018,,,,,,Dump,,,,6,,,3000,1000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH53_Van,0.893,50,1000,Lelepa,,,,,Buy food,Local,,Solar,50000,None,17.55126,,,-17.60097,168.21058,Government Employed,,438.7815,,1,,,,8,,,Yes,Yes,15/11/2018,,,,,Burnt,Dump,Burnt,,,,,,2000,3200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
LH51_Van,2.829,,2000,Lelepa,,,,,Buy,Local,,,20000,None,17.55126,,,-17.60097,168.21058,Tourist,,175.5126,,,,,,10,0,,Yes,Yes,15/11/2018,,,,,,,,,,8,,,2000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH50_Van,0.475,100,1000,Lelepa,,,,,Buy,Local,,Solar,15000,None,17.55126,,,-17.60097,168.21058,Self Employment,,131.63445,3,1,,,,11,,,Yes,Yes,15/11/2018,,,,Dump,,,Pigs,,,,,,2000,1000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
LH49_Van,0.244,100,2000,Lelepa,,Rice& Tins,Group local,Fish,Buy,Produce,,Solar light,150000,None,17.55126,,Own,-17.60097,168.21058,Fishing - Own business ,,1316.3445,,,,,,12,3,,Yes& Clean our environment& recycle for money,Yes,15/11/2018,,,,,Burn,,Burn,,,5,,,2000,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,
LH48_Van,1.852,50,50,Lelepa,,Manihot lano,Fish,Chicken,Produce,Produce,Produce and buy,,40000,None,8.77563,,Own,-17.60097,168.21058,Employment,,351.0252,Cardboard box,2,4,,,13,4,,Yes& highly support this government inititive if intriduced in the future,Yes& good if eventually introdced,,,,,,,,Burn on Popie island,,,0,,,1000,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
LH46_Van,0.606,50,200,Lelepa,,,,,,,,,2500,None,,,,-17.60097,168.21058,Tourism,,21.939075,1,,2,,,14,,,Yes,,15/11/2018,,,,Burn,Burn,Burn,Burn,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,
H50_Van,9.734,100,1000,Port Vila 3,10,,,,Buy,Buy,Buy,Month,100000,User Pays,175.5126,,Own,-17.74842,168.31775,Air ports Vanuatu,,877.563,1 plastic bag,2,6,Yes,Collection is good,15,4.5,,Yes,Yes,16/11/2018,2000,,,Buy private truck,Into plastic bags (Yellow),into yellow bag,Compost ,,,4,Sunny,,20000,3000,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
LV08_Van,5.87,,,Luganville,,,,,,,,,,User Pays,,,,-15.51457,167.20198,,,,,,,,,104,,,,,19/11/2018,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
H49_Van,7.654,,,Port Vila 3,10,,,,Buy,Buy,Buy,Month,60000,User Pays,131.63445,,Own,-17.75041,168.31750,Works at the ministry of ,,526.5378,1-2 Plastic bag each day of collection,,,Yes,Their collection is good,16,2.5,,,,16/11/2018,6000,,,Into yellow plastic bag,Into yellow plastic bag,Into yellow plastic bag,Compost,,,4.5,,,15000,2000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
H48_Van,10.684,,,Port Vila 3,10,,,,Buy,Buy,Buy,Month,200000,User Pays,219.39075,,Own,-17.75129,168.31878,Lawer,,1755.126,2 3,2,,No,Collection is good ,17,0,They should provide hand glove for their staff because they are working without proper safety equpment ,,,16/11/2018,6000,,,Bring to landfill by myself,into yellow bag,none at the moment,Compost,,,7.5,,,25000,3500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
H47_Van,4.238,,,Port Vila 3,10,,,,Buy,Buy,Buy,Month,100000,User Pays,175.5126,,Own,-17.75106,168.31898,Sewage removal truck,,877.563,2 4 plastic bags,1,,Yes,They always collect,18,4.5,,,,,10000,,,into plastic bags,into plastic bags,into plastic bags,into plastic bags,,,7.5,Sunny,,20000,8000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
H46_Van,26.966,,,Port Vila 3,7,,,,Buy,Buy,Buy,Month,40000,User Pays,175.5126,,Own,-17.75251,168.31806,Aou-pou Bakery,,351.0252,1-2 plastic bags during collection day,2,,Yes,Sometimes they don't collect for a few days,19,1,They should always follow their schedual because when they don't the waste smells,,,16/11/2018,6000,,,Pay for private to collect,Into Yellow,Into Yellow bags,Burn,,,3.5,Sunny,,20000,2000,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,
H45_Van,11.282,,,Port Vila 3,10,,,,Buy,Buy,Buy,Month,36000,User Pays,175.5126,,Own,-17.73143,168.31336,NGO,,315.92268,1 plastic each collect day,4,,Yes,We live close to the municipal work shop so they always collect our yellow bags,20,3,,,,16/11/2018,4000,,,Into yellow bags,Into yellow bags,Into yellow bags,Into yellow bags,,,7.5,Sunny,,20000,6000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
H44_Van,8.004,,,Port Vila 3,10,,,,Buy,Buy,Buy,Month,50000,User Pays,131.63445,,,-17.73036,168.31470,Bus Driver,,438.7815,2-3 Plastic bags each collection day,2,,,Because we are close to the municipal workshop so they always collect,21,3,,,,16/11/2018,5000,,,Into yellow bags,Into yellow bags,Into yellow bags,Compsot,,,4,Sunny,,15000,1000,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,
H43_Van,6.052,,,Port Vila 3,10,,,,Buy,Buy,Buy,I Don't know as the landlord pays these bills,,User Pays,131.63445,,Rent,-17.73036,168.31470,Lawer,,,1 plastic a week,1,,Yes,Collection is good,22,3.5,,,,16/11/2018,,,,,Into plastic yellow bag,,,,,6.5,Sunny,,15000,3000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
