,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight_(kg),energy_kWh_per_kg,total_energy_kWh,cardboard,paper,eps,plastic_bags,flexibles_film,other_plastic,jars,food,textiles,other_organics,aluminium_cans,steel_cans,lpb,pp,pet_bottles,nappies,aluminium_recyclable,batteries,other
0,1,0.18310428455941793,0.02182700080840744,0.030315278900565894,0.18310428455941793,4.9479999999999995,0.6,2.97,0.108,0.0,0.0,0.0,0.084,0.014,0.0,0.0,0.0,3.784,0.36,0.344,0.0,0.0,0.052,0.0,0.0,0.202,0.0
1,2,0.7781777900858488,0.0,0.05123234561063417,0.17058986430351702,7.222,2.55,18.42,0.0,0.0,0.0,0.052,0.196,0.026,0.0,0.0,0.0,5.62,0.716,0.516,0.0,0.0,0.096,0.0,0.0,0.0,0.0
2,3,0.9295212765957448,0.020611702127659576,0.012300531914893621,0.03756648936170213,12.032,2.99,35.98,0.248,0.0,0.0,0.0,0.14,0.006,0.0,11.184,0.0,0.0,0.344,0.108,0.0,0.0,0.002,0.0,0.0,0.0,0.0
3,4,0.9557522123893805,0.0,0.04424778761061947,0.0,0.452,3.11,1.41,0.0,0.0,0.0,0.008,0.0,0.012,0.0,0.0,0.0,0.432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.9800884955752213,0.0,0.019911504424778764,0.0,10.847999999999999,3.12,33.85,0.0,0.0,0.004,0.088,0.0,0.0,0.0,0.0,0.0,10.632,0.0,0.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0
5,6,0.993932499051953,0.0,0.004550625711035267,0.0015168752370117557,10.548,3.11,32.8,0.0,0.0,0.0,0.0,0.004,0.0,0.0,10.484,0.0,0.0,0.016,0.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0
6,7,0.25103933482571156,0.14550687559961625,0.4547489606651743,0.14870482890949793,2.5016,1.25,3.13,0.0,0.104,0.036,0.07,0.4056,0.43,0.0,0.0,0.26,0.628,0.372,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0
7,8,0.9548916227299356,0.0,0.04510837727006444,0.0,3.4139999999999997,3.11,10.62,0.0,0.0,0.0,0.024,0.092,0.038,0.0,3.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9,0.4642201834862385,0.0,0.3853211009174312,0.15045871559633028,2.18,2.01,4.38,0.0,0.0,0.0,0.46,0.38,0.0,0.0,0.744,0.0,0.268,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,10,0.8100504929069489,0.11084395287328686,0.0240442414041837,0.05506131281558067,16.636000000000003,2.87,47.75,1.844,0.0,0.0,0.116,0.064,0.02,0.0,13.476,0.0,0.0,0.596,0.108,0.0,0.0,0.2,0.0,0.0,0.212,0.0
10,11,0.6757493188010899,0.0,0.05722070844686648,0.2670299727520436,2.936,2.23,6.55,0.0,0.0,0.0,0.04,0.052,0.0,0.0,0.0,0.0,1.984,0.684,0.1,0.0,0.0,0.076,0.0,0.0,0.0,0.0
11,12,0.6285390713476784,0.0033975084937712344,0.0838052095130238,0.2842582106455266,3.5320000000000005,2.13,7.52,0.012,0.0,0.0,0.116,0.05,0.028,0.0,0.0,0.0,2.22,1.004,0.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0
12,13,0.927077106993425,0.004184100418410042,0.03765690376569038,0.031081888822474604,6.692,3.01,20.14,0.028,0.0,0.0,0.0,0.04,0.004,0.0,0.0,0.0,6.204,0.124,0.084,0.0,0.0,0.208,0.0,0.0,0.0,0.0
13,14,0.0,0.0,0.06454545454545454,0.9354545454545455,4.3999999999999995,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,2.652,1.464,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,15,0.8797691567810195,0.021801859570375122,0.06861173453029816,0.029817249118307146,6.238,2.99,18.65,0.136,0.0,0.0,0.104,0.0,0.324,0.0,0.0,0.0,5.488,0.066,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,16,0.8526240115025161,0.11023244668104482,0.028277018931224536,0.008866522885214473,16.692,3.03,50.58,1.84,0.0,0.056,0.248,0.032,0.0,0.0,14.232,0.0,0.0,0.148,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.0
16,17,0.9394043135912359,0.0,0.0326942827798699,0.027901403628894213,11.684000000000001,3.03,35.4,0.0,0.0,0.0,0.056,0.276,0.05,0.0,10.976,0.0,0.0,0.108,0.218,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,18,0.9953881629515757,0.0,0.0046118370484242895,0.0,10.408,3.12,32.47,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,10.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,19,0.9754394413676859,0.008186852877437997,0.00650132434384782,0.009872381411028171,16.612000000000002,3.09,51.33,0.032,0.0,0.0,0.108,0.0,0.0,0.0,16.204,0.0,0.0,0.164,0.0,0.104,0.0,0.0,0.0,0.0,0.0,0.0
