,ID,Organics_wt_%,Paper_and_cardboard_wt_%,Plastics_wt_%,Non_combust_wt_%,Total_weight (kg),energy_kWh_per_kg,total_energy_kWh,Date,Commercial,Location,commercial,aluminium cans,steel cans,metal other,lpb,paper,pet bottles,plastic bags,flexibles/film,other plastic,glass jars,other organics,textles,ceramics,other,aluminium recyclable,cardboard,nappies,food,hdpe bottles,pp,feminine hygiene,electrical items and peripherals (incl tvs)
0,29,0.652020525978191,0.14742356211246524,0.05676715843489416,0.14378875347444942,37.416,2.45,91.67,2020-11-06,0.0,Port Vila,0.0,0.028,2.324,0.14,0.064,0.66,0.392,0.172,0.312,1.248,0.244,24.396,4.792,0.576,2.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30,0.5609597924773022,0.07619974059662775,0.20265888456549935,0.16018158236057067,7.4016,2.24,16.58,2020-11-06,0.0,Port Vila,0.0,0.0,0.408,0.0316,0.0,0.0,0.844,0.156,0.0,0.5,0.332,0.0,0.0,0.0,0.306,0.108,0.564,0.088,4.064,0.0,0.0,0.0,0.0
2,31,0.8587953729557241,0.033639143730886854,0.09852413242919826,0.009041350884190934,30.084,3.03,91.15,2020-11-06,0.0,Port Vila,0.0,0.052,0.0,0.0,0.232,0.672,1.484,0.0,0.78,0.46,0.0,0.0,0.064,0.0,0.128,0.092,0.044,13.876,11.892,0.06,0.18,0.068,0.0
3,32,0.8056308472501531,0.05307335839818135,0.1280930313893504,0.013202762962315295,22.874,2.97,67.94,2020-11-07,0.0,Port Vila,0.0,0.0,0.302,0.0,0.202,0.192,0.884,0.67,1.084,0.256,0.0,0.0,0.82,0.0,0.0,0.0,0.0,4.792,13.636,0.0,0.036,0.0,0.0
4,33,0.7420398433509279,0.06248935807934615,0.09109484079686701,0.10437595777285884,11.746,2.67,31.36,2020-11-07,0.0,Port Vila,0.0,0.032,1.12,0.0,0.0,0.06,0.168,0.156,0.256,0.368,0.0,0.0,0.2,0.03,0.0,0.044,0.474,8.22,0.496,0.122,0.0,0.0,0.0
5,34,0.6306954436450839,0.13026378896882493,0.1801438848920863,0.05889688249400479,20.849999999999998,2.58,53.79,2020-11-07,0.0,Port Vila,0.0,0.0,0.366,0.0,0.0,0.158,0.074,0.0,2.76,0.01,0.0,0.314,0.61,0.0,0.846,0.016,1.948,8.076,4.76,0.912,0.0,0.0,0.0
6,35,0.6200296980696255,0.14923279986800858,0.07960732552384095,0.151130176538525,24.244,2.38,57.7,2020-11-07,0.0,Port Vila,0.0,0.08,1.768,0.0,0.14,0.762,0.288,0.0,1.206,0.434,1.086,4.776,1.664,0.0,0.4,0.33,1.052,10.256,0.0,0.0,0.002,0.0,0.0
7,36,0.23743016759776536,0.11615456238361264,0.21298882681564246,0.4334264432029795,8.591999999999999,0.98,8.42,2020-11-07,0.0,Port Vila,0.0,0.114,0.676,0.0,0.174,0.1,1.34,0.0,0.316,0.174,2.306,0.0,0.0,0.0,0.508,0.12,0.724,0.0,2.04,0.0,0.0,0.0,0.0
8,37,0.24600334049152947,0.4285373419231687,0.18778334526366022,0.1376759723216416,8.382,1.24,10.39,2020-11-07,0.0,Port Vila,0.0,0.028,0.406,0.72,0.052,0.932,0.0,0.0,0.25,1.14,0.0,0.0,2.31,0.0,0.0,0.0,0.298,0.0,2.062,0.116,0.068,0.0,0.0
9,38,0.8454927774730299,0.0874931431705979,0.06335710367526057,0.0036569756811117207,21.876,3.03,66.28,2020-11-07,0.0,Port Vila,0.0,0.0,0.08,0.0,0.654,0.538,0.0,0.0,0.832,0.554,0.0,0.0,0.0,0.0,0.0,0.0,0.722,6.036,12.46,0.0,0.0,0.0,0.0
10,39,0.18078532987841342,0.4175802272274268,0.16165038867849313,0.23998405421566676,10.034,0.89,8.93,2020-11-07,0.0,Port Vila,0.0,0.0,1.724,0.076,1.552,0.358,0.0,0.12,1.18,0.288,0.0,0.0,0.56,0.0,0.584,0.024,1.72,0.0,1.814,0.0,0.034,0.0,0.0
11,40,0.6269616474010564,0.000995177218096915,0.1526448748373268,0.2193983005435199,26.125999999999998,2.26,59.04,2020-11-07,0.0,Port Vila,0.0,0.524,4.0,0.476,0.026,0.0,0.72,0.124,0.476,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,0.0,0.0,2.008,0.0,0.732
12,41,0.5853549468977082,0.03208496366685299,0.06204583566238121,0.3205142537730576,17.89,2.0,35.78,2020-11-07,0.0,Port Vila,0.0,0.018,0.92,4.306,0.0,0.262,0.25,0.056,0.234,0.57,0.0,0.0,0.0,0.0,0.0,0.004,0.312,2.828,7.644,0.0,0.0,0.0,0.486
13,42,0.6275724717857933,0.11130781146271299,0.11163974330604115,0.14947997344545252,18.076000000000004,2.39,43.2,2020-11-07,0.0,Port Vila,0.0,0.0,0.866,0.496,0.336,0.224,0.052,0.132,0.24,1.248,0.0,0.0,1.204,0.0,0.468,0.01,0.248,5.54,5.804,0.306,0.04,0.0,0.862
14,43,0.7706076307112577,0.02016015073009892,0.13782383419689123,0.07140838436175224,21.23,2.78,59.02,2020-11-07,0.0,Port Vila,0.0,0.0,0.822,0.086,0.0,0.26,1.316,0.0,0.406,1.204,0.0,0.0,0.0,0.0,0.596,0.012,0.168,7.904,8.426,0.0,0.0,0.03,0.0
15,44,0.8325845553954394,0.007289988980249215,0.05238619988132576,0.10773925574298548,23.593999999999998,2.75,64.88,2020-11-07,0.0,Port Vila,0.0,0.074,1.526,0.0,0.172,0.0,0.964,0.0,0.076,0.196,0.942,0.0,0.0,0.0,0.0,0.0,0.0,19.644,0.0,0.0,0.0,0.0,0.0
16,45,0.03230059327620303,0.4383651944627554,0.22478576137112719,0.30454845088991433,3.034,0.17,0.52,2020-11-07,0.0,Port Vila,0.0,0.0,0.554,0.0,0.148,0.024,0.416,0.0,0.152,0.114,0.342,0.0,0.426,0.0,0.0,0.028,0.732,0.098,0.0,0.0,0.0,0.0,0.0
17,46,0.9176081565169468,0.06944061724993111,0.012951226233122072,0.0,7.258,3.1,22.5,2020-11-07,0.0,Port Vila,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.064,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,6.66,0.0,0.0,0.0,0.0
18,47,0.9027862695431914,0.007031181762599353,0.04690365970827146,0.04327888898593763,45.79600000000001,2.97,136.01,2020-11-07,0.0,Port Vila,0.0,0.03,1.952,0.0,0.0,0.0,0.228,1.212,0.652,0.056,0.0,7.128,0.322,0.0,0.0,0.0,0.0,11.096,23.12,0.0,0.0,0.0,0.0
19,48,0.8880303030303031,0.06045454545454544,0.030303030303030304,0.021212121212121213,13.2,3.02,39.86,2020-11-07,0.0,Port Vila,0.0,0.062,0.218,0.0,0.084,0.0,0.136,0.0,0.236,0.028,0.0,1.524,0.0,0.0,0.0,0.0,0.714,4.394,5.804,0.0,0.0,0.0,0.0
20,49,0.9440969040124317,0.002829023389249711,0.030282503884926478,0.022791568713392038,50.194,3.04,152.59,2020-11-07,0.0,Port Vila,0.0,0.0,0.34,0.326,0.0,0.032,0.0,0.812,0.568,0.14,0.0,19.116,0.0,0.478,0.0,0.0,0.11,26.108,2.164,0.0,0.0,0.0,0.0
21,50,0.8718211298856461,0.05359276327018263,0.06024918928144735,0.014336917562724013,11.718,3.03,35.51,2020-11-07,0.0,Port Vila,0.0,0.0,0.12,0.048,0.12,0.046,0.136,0.006,0.278,0.032,0.0,6.884,0.2,0.0,0.0,0.0,0.262,3.332,0.0,0.254,0.0,0.0,0.0
22,51,0.9511522377435715,0.025091200284722844,0.01201174481715455,0.011744817154551118,22.478,3.08,69.23,2020-11-07,0.0,Port Vila,0.0,0.0,0.126,0.0,0.0,0.43,0.112,0.0,0.122,0.036,0.0,0.0,0.0,0.0,0.138,0.0,0.134,0.612,20.768,0.0,0.0,0.0,0.0
23,52,0.0035790980672870437,0.58840372226199,0.30171796707229775,0.10629921259842519,5.588,0.02,0.11,2020-11-07,0.0,Port Vila,0.0,0.0,0.0,0.0,0.0,0.384,1.206,0.0,0.076,0.246,0.0,0.02,2.226,0.0,0.594,0.0,0.678,0.0,0.0,0.146,0.012,0.0,0.0
24,53,0.5269399329724155,0.2461974735756638,0.10775973188966229,0.11910286156225829,7.758,2.23,17.3,2020-11-07,0.0,Port Vila,0.0,0.116,0.688,0.0,0.588,0.7,0.142,0.0,0.376,0.318,0.0,0.0,0.18,0.0,0.12,0.0,0.442,4.088,0.0,0.0,0.0,0.0,0.0
